Allele ID(s)	MGI Marker Accession ID	PubMed ID	Mammalian Phenotype ID	MP term name	Entity 1	Quality 1	Quality 2	Entity 2
MGI:3762657	MGI:103222	6067640	MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:3762657	MGI:103222	6067640	MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:3762657	MGI:103222	6067640	MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:3762657	MGI:103222	6067640	MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:1856943	MGI:103222		MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:1856943	MGI:103222		MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:1856943	MGI:103222		MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:1856943	MGI:103222		MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:3526160	MGI:103291	15746153	MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:4836362	MGI:106040	21705796	MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:3045113	MGI:1931028	15703196	MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:5315747	MGI:2443231	22228095	MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:3798872	MGI:3798871		MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:1856276	MGI:95729	17400206	MP:0000413	polyphalangy	UBERON:0002544 ! digit	PATO:0002002 ! has extra parts of type		UBERON:0003221 ! phalanx
MGI:1856943	MGI:103222		MP:0000482	long fibula	UBERON:0001446 ! fibula	PATO:0000573 ! increased length		
MGI:1856943	MGI:103222		MP:0000482	long fibula	UBERON:0001446 ! fibula	PATO:0000573 ! increased length		
MGI:2667542	MGI:101766	10932185	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2654744	MGI:101815		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2386246	MGI:101900	10737763	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2182708	MGI:103222	10835630	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1862000	MGI:104327	9585504	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1862000	MGI:104327	11330864	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1933757	MGI:104564	9136926	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1933757	MGI:104564	9136926	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
